judge	speaker	rating
1	L1_002_sent08	3
1	L1_003_sent08	2
1	L1_004_sent08	1
1	L1_006_sent08	2
1	L1_007_sent08	4
1	L1_008_sent08	1
1	L1_009_sent08	2
1	L1_010_sent08	1
1	L1_011_sent08	3
1	L1_012_sent08	3
1	L1_013_sent08	1
1	L1_015_sent08	5
1	L1_016_sent08	1
1	L1_017_sent08	5
1	L1_018_sent08	2
1	L1_019_sent08	3
1	L1_022_sent08	1
1	L1_023_sent08	1
1	L1_024_sent08	1
1	L1_025_sent08	1
1	L1_027_sent08	3
1	L1_028_sent08	2
1	L1_029_sent08	1
1	L1_031_sent08	3
1	L1_033_sent08	3
1	L1_034_sent08	2
1	L1_035_sent08	1
1	L1_036_sent08	1
1	L1_037_sent08	1
1	L1_038_sent08	1
1	L1_039_sent08	2
1	L1_040_sent08	3
1	L1_043_sent08	2
1	L1_044_sent08	2
1	L1_045_sent08	4
1	L1_046_sent08	1
1	L1_047_sent08	1
1	L1_048_sent08	2
1	L1_049_sent08	2
1	L1_050_sent08	3
1	L1_051_sent08	1
1	L1_052_sent08	1
1	L1_053_sent08	3
1	L1_056_sent08	3
1	L1_057_sent08	3
1	L1_059_sent08	1
1	L1_060_sent08	2
1	L1_061_sent08	4
1	L1_062_sent08	2
1	L1_063_sent08	1
1	L1_064_sent08	5
1	L1_065_sent08	1
1	L1_067_sent08	3
1	L1_068_sent08	2
1	L1_069_sent08	3
1	L1_070_sent08	3
1	L1_073_sent08	1
1	L1_074_sent08	1
1	L1_075_sent08	4
1	L1_077_sent08	1
1	L1_078_sent08	1
1	L1_079_sent08	2
1	L1_080_sent08	2
1	L1_083_sent08	2
1	L1_085_sent08	1
1	L1_086_sent08	3
1	L1_087_sent08	1
1	L1_088_sent08	1
1	L1_089_sent08	2
1	L1_090_sent08	1
1	L1_091_sent08	1
1	L1_093_sent08	2
1	L1_094_sent08	3
1	L1_095_sent08	4
1	L1_096_sent08	1
1	L1_097_sent08	1
1	L1_098_sent08	1
1	L1_099_sent08	3
1	L1_100_sent08	4
1	L1_101_sent08	2
1	L1_102_sent08	3
1	L1_103_sent08	1
1	L1_104_sent08	2
1	L1_106_sent08	2
1	L1_107_sent08	2
1	L1_108_sent08	2
1	L1_109_sent08	1
1	L1_110_sent08	2
1	L1_111_sent08	2
1	L1_113_sent08	4
1	L1_114_sent08	1
1	L1_116_sent08	3
1	L1_117_sent08	2
1	L1_120_sent08	1
1	L1_121_sent08	2
1	L1_122_sent08	2
1	L1_123_sent08	1
1	L1_124_sent08	1
1	L1_125_sent08	3
1	L1_127_sent08	4
1	L1_128_sent08	4
1	L1_131_sent08	2
1	L1_132_sent08	5
1	L1_134_sent08	2
1	L1_135_sent08	4
1	L1_136_sent08	2
1	L1_137_sent08	1
1	L1_139_sent08	1
1	L1_140_sent08	2
1	L1_141_sent08	1
1	L1_143_sent08	3
1	L1_144_sent08	1
1	L1_146_sent08	1
1	L1_148_sent08	2
1	L1_149_sent08	1
1	L1_151_sent08	5
1	L1_152_sent08	4
1	L1_153_sent08	1
1	L1_154_sent08	3
1	L1_155_sent08	2
1	L1_156_sent08	3
1	L1_157_sent08	2
1	L1_158_sent08	4
1	L1_159_sent08	2
1	L1_160_sent08	3
1	L1_161_sent08	1
1	L1_162_sent08	4
1	L1_163_sent08	4
1	L1_164_sent08	5
1	L1_165_sent08	2
1	L1_166_sent08	2
1	L1_167_sent08	4
1	L1_168_sent08	1
1	L1_169_sent08	2
1	L1_170_sent08	2
1	L1_171_sent08	3
1	L1_172_sent08	4
1	L1_173_sent08	1
1	L1_174_sent08	4
1	L1_175_sent08	4
1	L1_176_sent08	2
1	L1_177_sent08	4
1	L1_178_sent08	3
1	L1_180_sent08	1
1	L1_182_sent08	3
1	L1_183_sent08	3
1	L1_184_sent08	2
1	L1_185_sent08	2
1	L1_186_sent08	1
1	L1_187_sent08	1
1	L1_188_sent08	1
1	L1_189_sent08	2
1	L1_191_sent08	2
1	L1_192_sent08	4
1	L2_204_sent08	2
1	L2_205_sent08	3
1	L2_206_sent08	4
1	L2_207_sent08	1
1	L2_208_sent08	1
1	L2_209_sent08	3
1	L2_210_sent08	1
1	L2_211_sent08	3
1	L2_212_sent08	1
1	L2_213_sent08	4
1	L2_214_sent08	3
1	L2_215_sent08	1
1	L2_216_sent08	3
1	L2_217_sent08	1
1	L2_218_sent08	4
1	L2_219_sent08	4
1	L2_220_sent08	4
1	L2_221_sent08	3
1	L2_222_sent08	2
1	L2_223_sent08	1
1	L2_224_sent08	3
1	L2_225_sent08	2
1	L2_226_sent08	2
1	L2_227_sent08	1
1	L2_228_sent08	4
1	L2_229_sent08	5
1	L2_230_sent08	4
1	L2_231_sent08	1
1	L2_232_sent08	2
1	L2_233_sent08	2
1	L2_234_sent08	2
1	L2_235_sent08	1
1	L2_236_sent08	3
1	L2_237_sent08	4
1	L2_238_sent08	1
1	L2_239_sent08	1
1	L2_240_sent08	1
1	L2_241_sent08	3
1	L2_242_sent08	2
1	L2_243_sent08	2
1	L2_244_sent08	1
1	L2_245_sent08	2
1	L2_246_sent08	3
1	L2_247_sent08	1
1	L2_248_sent08	3
1	L2_249_sent08	3
1	L2_250_sent08	3
1	L2_251_sent08	2
1	L2_252_sent08	4
1	L2_253_sent08	3
1	L2_254_sent08	2
1	L2_255_sent08	2
1	L2_256_sent08	4
1	L2_257_sent08	3
1	L2_258_sent08	3
1	L2_259_sent08	1
1	L2_260_sent08	2
1	L2_261_sent08	3
1	L2_262_sent08	4
1	L2_263_sent08	2
1	L2_264_sent08	2
1	L2_265_sent08	1
1	L2_266_sent08	5
1	L2_267_sent08	3
1	L2_268_sent08	2
1	L2_269_sent08	3
1	L2_270_sent08	2
1	L2_271_sent08	2
1	L2_272_sent08	5
1	L2_273_sent08	3
1	L2_274_sent08	1
1	L2_275_sent08	2
1	L2_276_sent08	1
1	L2_277_sent08	2
1	L2_278_sent08	1
1	L2_279_sent08	2
1	L2_280_sent08	1
1	L2_281_sent08	1
1	L2_282_sent08	1
1	L2_283_sent08	1
1	L2_284_sent08	1
1	L2_285_sent08	1
1	L2_286_sent08	2
1	L2_287_sent08	3
1	L2_288_sent08	3
1	L2_289_sent08	1
1	L2_290_sent08	1
1	L2_291_sent08	2
1	L2_292_sent08	2
1	L2_293_sent08	3
1	L2_294_sent08	1
1	L2_295_sent08	2
1	L2_296_sent08	1
1	L2_297_sent08	1
1	L2_298_sent08	3
1	L2_299_sent08	4
1	L2_300_sent08	4
1	L2_301_sent08	2
1	L2_302_sent08	1
1	L2_303_sent08	1
1	L2_304_sent08	1
1	L2_305_sent08	2
1	L2_306_sent08	3
1	L2_307_sent08	4
1	L2_308_sent08	4
1	L2_309_sent08	4
1	L2_310_sent08	2
1	L2_311_sent08	1
1	L2_312_sent08	3
1	L2_313_sent08	4
1	L2_314_sent08	2
1	L2_315_sent08	2
1	L2_316_sent08	2
1	L2_317_sent08	3
1	L2_318_sent08	3
1	L2_320_sent08	2
1	L2_321_sent08	1
1	L2_322_sent08	1
1	L2_323_sent08	3
1	L2_324_sent08	2
1	L2_325_sent08	3
1	L2_326_sent08	2
1	L2_327_sent08	1
1	L2_328_sent08	1
1	L2_329_sent08	4
1	L2_330_sent08	1
1	L2_331_sent08	1
1	L2_332_sent08	1
1	L2_333_sent08	1
1	L2_334_sent08	3
1	L2_335_sent08	1
1	L2_336_sent08	3
1	L2_337_sent08	2
1	L2_338_sent08	1
1	L2_339_sent08	2
1	L2_340_sent08	3
1	L2_341_sent08	3
1	L2_342_sent08	2
1	L2_343_sent08	1
1	L2_344_sent08	3
1	L2_345_sent08	2
1	L2_346_sent08	1
1	L3_193_sent08	4
1	L3_194_sent08	3
1	L3_195_sent08	1
1	L3_196_sent08	1
1	L3_197_sent08	4
1	L3_198_sent08	1
1	L3_199_sent08	1
1	L3_200_sent08	2
1	L3_201_sent08	1
1	L3_202_sent08	2
1	L3_203_sent08	3
2	L1_002_sent08	3
2	L1_003_sent08	2
2	L1_004_sent08	2
2	L1_006_sent08	3
2	L1_007_sent08	3
2	L1_008_sent08	3
2	L1_009_sent08	2
2	L1_010_sent08	2
2	L1_011_sent08	3
2	L1_012_sent08	4
2	L1_013_sent08	3
2	L1_015_sent08	5
2	L1_016_sent08	3
2	L1_017_sent08	4
2	L1_018_sent08	2
2	L1_019_sent08	4
2	L1_022_sent08	1
2	L1_023_sent08	1
2	L1_024_sent08	4
2	L1_025_sent08	1
2	L1_027_sent08	4
2	L1_028_sent08	2
2	L1_029_sent08	3
2	L1_031_sent08	4
2	L1_033_sent08	4
2	L1_034_sent08	3
2	L1_035_sent08	4
2	L1_036_sent08	4
2	L1_037_sent08	1
2	L1_038_sent08	2
2	L1_039_sent08	3
2	L1_040_sent08	3
2	L1_043_sent08	2
2	L1_044_sent08	4
2	L1_045_sent08	4
2	L1_046_sent08	1
2	L1_047_sent08	2
2	L1_048_sent08	1
2	L1_049_sent08	4
2	L1_050_sent08	4
2	L1_051_sent08	2
2	L1_052_sent08	1
2	L1_053_sent08	4
2	L1_056_sent08	4
2	L1_057_sent08	4
2	L1_059_sent08	2
2	L1_060_sent08	2
2	L1_061_sent08	4
2	L1_062_sent08	3
2	L1_063_sent08	1
2	L1_064_sent08	5
2	L1_065_sent08	2
2	L1_067_sent08	3
2	L1_068_sent08	3
2	L1_069_sent08	3
2	L1_070_sent08	2
2	L1_073_sent08	2
2	L1_074_sent08	3
2	L1_075_sent08	4
2	L1_077_sent08	2
2	L1_078_sent08	1
2	L1_079_sent08	1
2	L1_080_sent08	4
2	L1_083_sent08	3
2	L1_085_sent08	2
2	L1_086_sent08	4
2	L1_087_sent08	2
2	L1_088_sent08	1
2	L1_089_sent08	3
2	L1_090_sent08	1
2	L1_091_sent08	2
2	L1_093_sent08	1
2	L1_094_sent08	4
2	L1_095_sent08	4
2	L1_096_sent08	1
2	L1_097_sent08	2
2	L1_098_sent08	2
2	L1_099_sent08	4
2	L1_100_sent08	4
2	L1_101_sent08	3
2	L1_102_sent08	4
2	L1_103_sent08	1
2	L1_104_sent08	3
2	L1_106_sent08	2
2	L1_107_sent08	1
2	L1_108_sent08	2
2	L1_109_sent08	2
2	L1_110_sent08	1
2	L1_111_sent08	4
2	L1_113_sent08	4
2	L1_114_sent08	1
2	L1_116_sent08	4
2	L1_117_sent08	2
2	L1_120_sent08	2
2	L1_121_sent08	4
2	L1_122_sent08	2
2	L1_123_sent08	1
2	L1_124_sent08	2
2	L1_125_sent08	4
2	L1_127_sent08	3
2	L1_128_sent08	4
2	L1_131_sent08	2
2	L1_132_sent08	4
2	L1_134_sent08	3
2	L1_135_sent08	4
2	L1_136_sent08	3
2	L1_137_sent08	2
2	L1_139_sent08	1
2	L1_140_sent08	3
2	L1_141_sent08	1
2	L1_143_sent08	3
2	L1_144_sent08	1
2	L1_146_sent08	1
2	L1_148_sent08	1
2	L1_149_sent08	1
2	L1_151_sent08	5
2	L1_152_sent08	4
2	L1_153_sent08	1
2	L1_154_sent08	2
2	L1_155_sent08	1
2	L1_156_sent08	3
2	L1_157_sent08	3
2	L1_158_sent08	4
2	L1_159_sent08	3
2	L1_160_sent08	2
2	L1_161_sent08	1
2	L1_162_sent08	4
2	L1_163_sent08	4
2	L1_164_sent08	5
2	L1_165_sent08	2
2	L1_166_sent08	3
2	L1_167_sent08	2
2	L1_168_sent08	1
2	L1_169_sent08	3
2	L1_170_sent08	3
2	L1_171_sent08	3
2	L1_172_sent08	2
2	L1_173_sent08	1
2	L1_174_sent08	2
2	L1_175_sent08	3
2	L1_176_sent08	1
2	L1_177_sent08	4
2	L1_178_sent08	3
2	L1_180_sent08	2
2	L1_182_sent08	3
2	L1_183_sent08	3
2	L1_184_sent08	2
2	L1_185_sent08	3
2	L1_186_sent08	1
2	L1_187_sent08	1
2	L1_188_sent08	1
2	L1_189_sent08	3
2	L1_191_sent08	2
2	L1_192_sent08	5
2	L2_204_sent08	2
2	L2_205_sent08	4
2	L2_206_sent08	3
2	L2_207_sent08	1
2	L2_208_sent08	1
2	L2_209_sent08	3
2	L2_210_sent08	1
2	L2_211_sent08	3
2	L2_212_sent08	3
2	L2_213_sent08	5
2	L2_214_sent08	3
2	L2_215_sent08	2
2	L2_216_sent08	1
2	L2_217_sent08	1
2	L2_218_sent08	4
2	L2_219_sent08	2
2	L2_220_sent08	3
2	L2_221_sent08	2
2	L2_222_sent08	2
2	L2_223_sent08	1
2	L2_224_sent08	2
2	L2_225_sent08	2
2	L2_226_sent08	3
2	L2_227_sent08	1
2	L2_228_sent08	3
2	L2_229_sent08	5
2	L2_230_sent08	3
2	L2_231_sent08	2
2	L2_232_sent08	2
2	L2_233_sent08	2
2	L2_234_sent08	2
2	L2_235_sent08	3
2	L2_236_sent08	2
2	L2_237_sent08	4
2	L2_238_sent08	2
2	L2_239_sent08	2
2	L2_240_sent08	3
2	L2_241_sent08	4
2	L2_242_sent08	4
2	L2_243_sent08	2
2	L2_244_sent08	3
2	L2_245_sent08	4
2	L2_246_sent08	3
2	L2_247_sent08	1
2	L2_248_sent08	3
2	L2_249_sent08	2
2	L2_250_sent08	2
2	L2_251_sent08	1
2	L2_252_sent08	2
2	L2_253_sent08	2
2	L2_254_sent08	4
2	L2_255_sent08	1
2	L2_256_sent08	5
2	L2_257_sent08	2
2	L2_258_sent08	2
2	L2_259_sent08	1
2	L2_260_sent08	2
2	L2_261_sent08	4
2	L2_262_sent08	3
2	L2_263_sent08	1
2	L2_264_sent08	2
2	L2_265_sent08	1
2	L2_266_sent08	2
2	L2_267_sent08	4
2	L2_268_sent08	1
2	L2_269_sent08	3
2	L2_270_sent08	2
2	L2_271_sent08	2
2	L2_272_sent08	4
2	L2_273_sent08	4
2	L2_274_sent08	2
2	L2_275_sent08	2
2	L2_276_sent08	2
2	L2_277_sent08	3
2	L2_278_sent08	4
2	L2_279_sent08	2
2	L2_280_sent08	1
2	L2_281_sent08	1
2	L2_282_sent08	1
2	L2_283_sent08	2
2	L2_284_sent08	2
2	L2_285_sent08	1
2	L2_286_sent08	3
2	L2_287_sent08	4
2	L2_288_sent08	2
2	L2_289_sent08	2
2	L2_290_sent08	1
2	L2_291_sent08	3
2	L2_292_sent08	1
2	L2_293_sent08	3
2	L2_294_sent08	1
2	L2_295_sent08	2
2	L2_296_sent08	1
2	L2_297_sent08	1
2	L2_298_sent08	3
2	L2_299_sent08	4
2	L2_300_sent08	3
2	L2_301_sent08	2
2	L2_302_sent08	2
2	L2_303_sent08	1
2	L2_304_sent08	1
2	L2_305_sent08	4
