speaker	rating_judge_1	rating_judge_2	rating_judge_3	rating_judge_4	speaker_number	NIVEAU	notes_lecteurs
L1_002_sent08	3	3	3	3	2	L1	17
L1_003_sent08	2	2	2	2	3	L1	13
L1_004_sent08	1	2	1	1	4	L1	13.5
L1_006_sent08	2	3	4	4	6	L1	10
L1_007_sent08	4	3	4	5	7	L1	15
L1_008_sent08	1	3	2	3	8	L1	16
L1_009_sent08	2	2	3	2	9	L1	13
L1_011_sent08	3	3	3	4	11	L1	14
L1_012_sent08	3	4	3	4	12	L1	13.5
L1_013_sent08	1	3	1	1	13	L1	14
L1_015_sent08	5	5	5	5	15	L1	15.5
L1_016_sent08	1	3	3	2	16	L1	14
L1_017_sent08	5	4	4	4	17	L1	17
L1_018_sent08	2	2	3	3	18	L1	15.5
L1_019_sent08	3	4	3	4	19	L1	16.5
L1_023_sent08	1	1	2	3	23	L1	12
L1_025_sent08	1	1	1	1	25	L1	0
L1_027_sent08	3	4	4	4	27	L1	18.5
L1_028_sent08	2	2	3	3	28	L1	17
L1_029_sent08	1	3	4	3	29	L1	16.5
L1_031_sent08	3	4	4	5	31	L1	14.5
L1_034_sent08	2	3	3	3	34	L1	12.5
L1_035_sent08	1	4	3	3	35	L1	15
L1_036_sent08	1	4	3	4	36	L1	16
L1_037_sent08	1	1	3	3	37	L1	16
L1_038_sent08	1	2	2	3	38	L1	13
L1_039_sent08	2	3	4	4	39	L1	14
L1_040_sent08	3	3	4	3	40	L1	14.5
L1_043_sent08	2	2	3	3	43	L1	14.5
L1_044_sent08	2	4	3	4	44	L1	16
L1_046_sent08	1	1	2	2	46	L1	13
L1_047_sent08	1	2	2	1	47	L1	14.5
L1_048_sent08	2	1	3	3	48	L1	16.5
L1_049_sent08	2	4	4	3	49	L1	18
L1_050_sent08	3	4	3	3	50	L1	16
L1_051_sent08	1	2	2	3	51	L1	15.5
L1_052_sent08	1	1	2	2	52	L1	12
L1_053_sent08	3	4	4	3	53	L1	17
L1_057_sent08	3	4	4	4	57	L1	13
L1_059_sent08	1	2	3	2	59	L1	17
L1_060_sent08	2	2	3	2	60	L1	16.5
L1_061_sent08	4	4	3	3	61	L1	17.5
L1_062_sent08	2	3	2	3	62	L1	15.5
L1_063_sent08	1	1	1	2	63	L1	12.5
L1_064_sent08	5	5	5	5	64	L1	0
L1_065_sent08	1	2	2	2	65	L1	12
L1_067_sent08	3	3	4	4	67	L1	16
L1_068_sent08	2	3	3	2	68	L1	15
L1_069_sent08	3	3	4	4	69	L1	17
L1_070_sent08	3	2	3	4	70	L1	11
L1_073_sent08	1	2	3	2	73	L1	12
L1_074_sent08	1	3	3	2	74	L1	14.5
L1_077_sent08	1	2	2	2	77	L1	15
L1_078_sent08	1	1	3	3	78	L1	14.5
L1_079_sent08	2	1	2	2	79	L1	13.5
L1_083_sent08	2	3	3	3	83	L1	15
L1_086_sent08	3	4	4	3	86	L1	16.5
L1_087_sent08	1	2	2	2	87	L1	16
L1_088_sent08	1	1	3	2	88	L1	11
L1_089_sent08	2	3	3	3	89	L1	0
L1_090_sent08	1	1	2	3	90	L1	16
L1_091_sent08	1	2	3	1	91	L1	14
L1_093_sent08	2	1	3	3	93	L1	16.5
L1_094_sent08	3	4	4	4	94	L1	13
L1_095_sent08	4	4	4	5	95	L1	16
L1_096_sent08	1	1	2	2	96	L1	14.5
L1_097_sent08	1	2	3	2	97	L1	16
L1_098_sent08	1	2	3	2	98	L1	12.5
L1_099_sent08	3	4	3	3	99	L1	14
L1_100_sent08	4	4	5	5	100	L1	16
L1_101_sent08	2	3	4	4	101	L1	15.5
L1_103_sent08	1	1	1	2	103	L1	14
